Tipo;Categoría;Nombre;Dirección;C.Postal;Provincia;Municipio;Localidad;Nucleo;Teléfono 1;Teléfono 2;Teléfono 3;Fax;Email;web;Q Calidad
Restaurante;2;THOMAS;PZA. QUINTA BANDERA CASTILLA, 1;5250;Ávila;Hoyo de Pinares (El);HOYO DE PINARES (EL);;918638563;;;;;;
Restaurante;2;LOS ANGELES;LOS ANGELES, 12;5220;Ávila;Madrigal de las Altas Torres;MADRIGAL DE LAS ALTAS TORRES;;920320822;;;;;;
Restaurante;2;EL TOSTON DE ORO;AVDA. DE LOS DEPORTES Nº 2;5200;Ávila;Arévalo;AREVALO;AREVALO;920300798;920300225;;;;;
Restaurante;1;LAS GRUTAS DEL AGUILA;PARAJE GRUTAS DEL AGUILA;5418;Ávila;Arenas de San Pedro;RAMACASTAÑAS;RAMACASTAÑAS;920370148;920377106;654763273;;dismotorico@yahoo.es;;
Restaurante / Bar;1;MESON DE LAS CHULETAS;CAMINO GRUTAS DEL AGUILA, 1;5418;Ávila;Arenas de San Pedro;RAMACASTAÑAS;RAMACASTAÑAS;920370885;;;;;;
Restaurante / Bar;1;ADALIA;C/ SAN PEDRO BAUTISTA, 35;5005;Ávila;Ávila;AVILA;AVILA;920220041;;;;;;
Restaurante / Bar;1;ROSI;C/ DAVID HERRERO, 1;5005;Ávila;Ávila;AVILA;AVILA;629071494;;;;;;
Restaurante;1;LOS LEALES;PLAZA DE ITALIA, 4;5001;Ávila;Ávila;AVILA;;920211329;;;;;;
Restaurante;1;VALLE AMBLES;CTRA. SORIA-PLASENCIA, S/N;5192;Ávila;Colilla (La);COLILLA (LA);COLILLA (LA);920269779;;;;;;
Restaurante;2;RIVERTRAN;AVDA. JOSE MARIA, S/N;5410;Ávila;Mombeltrán;MOMBELTRAN;;920386131;;;;;;
Restaurante;1;HERMANOS MARTIN;VALLADOLID, 40;5005;Ávila;Ávila;AVILA;;920226573;;;;;;
Restaurante;2;AVENIDA;AVDA. CASTILLA Y LEON, 34;5430;Ávila;Adrada (La);ADRADA (LA);;918671278;;;;;;
Restaurante / Bar;1;LA HUERTA;DOCTOR VASALLO, 42;5440;Ávila;Piedralaves;PIEDRALAVES;PIEDRALAVES;918665528;;;;;;
Restaurante / Bar;2;EL VALLE (CIERRE TEMPORAL);CTRA. AVILA-SALAMANCA, KM. 25;5350;Ávila;San Pedro del Arroyo;SAN PEDRO DEL ARROYO;SAN PEDRO DEL ARROYO;920240230;;;;;;
Restaurante / Bar;1;AVENIDA;CTRA. MADRID,  N º 92-96;5100;Ávila;Navaluenga;NAVALUENGA;NAVALUENGA;920298618;;;;;;
Restaurante;2;LA RAMA;LA RAMA, 3;5428;Ávila;Casillas;CASILLAS;;918660171;;;;;;
Restaurante;1;TANGER;URB. PUENTE VIEJO;5291;Ávila;Maello;MAELLO;;;;;;;;
Restaurante;2;ANDURIÑA;AVDA. EMILIO ROMERO, 29;5200;Ávila;Arévalo;AREVALO;AREVALO;920301569;;;;;;
Restaurante;2;DONIS;PZA. SALVADOR, 2;5200;Ávila;Arévalo;AREVALO;AREVALO;920300692;;;;;;
Restaurante;1;EL CHATO;GENERAL SANJURJO, 28;5110;Ávila;Barraco (El);BARRACO (EL);PUENTE DE LA GAZNATA;920281024;;;;;;
Restaurante;2;LA CASONA;C/ PINILLAS, Nº 20;5500;Ávila;Piedrahíta;PIEDRAHITA;PIEDRAHITA;920360071;920360362;;;;;
Restaurante;2;CASA FERMIN;CTRA. ALCORCON-PLASENCIA, S/N.;5429;Ávila;Santa María del Tiétar;SANTA MARIA DEL TIETAR;SANTA MARIA DEL TIETAR;918662222;;;;;;
Restaurante / Bar;2;SAN MARCOS;PZA. CONSTITUCION, 35;5110;Ávila;Barraco (El);BARRACO (EL);BARRACO (EL);920281697;617825199;;;;;
Restaurante / Bar;1;EL CHULETON;AVDA. GREDOS, 36;5112;Ávila;Navalmoral;NAVALMORAL;NAVALMORAL;920280379;;;;;;
Restaurante / Bar;1;LA ALAMEDA;C/ LA ALAMEDA, Nº 2;5600;Ávila;Barco de Ávila (El);BARCO DE AVILA (EL);BARCO DE AVILA (EL);920341335;;;;;;
Restaurante;2;GRAN PRIX HORNO SANTA TERESA;SAN NICOLAS, 21;5002;Ávila;Ávila;AVILA;;920213811;920229118;;920213811;;;
Restaurante / Bar;1;CAMPING CASAVIEJA;PARAJE FUENTE HELECHA, S/N;5450;Ávila;Casavieja;CASAVIEJA;CASAVIEJA;918678914;;;;;;
Restaurante;1;POKER;REAL, S/N;5293;Ávila;Peguerinos;PEGUERINOS;;918983000;;;;;;
Restaurante / Bar;1;VENTA DE SAN JOSE;CARRETERA DE BURGOHONDO, K. 2'800;5002;Ávila;Ávila;AVILA;;920212504;;;;;;
Restaurante;1;LA FLOR;CTRA. EL PINAR, S/N;5293;Ávila;Peguerinos;PEGUERINOS;PEGUERINOS;918983040;;;;;;
Restaurante / Bar;1;VENTA RASCA;CTRA. AVILA-TALAVERA, KM. 44;5132;Ávila;San Martín del Pimpollar;SAN MARTIN DEL PIMPOLLAR;*DISEMINADO*;920348227;;;;;;
Restaurante;1;TARELO;AVDA. JOSE ANTONIO, S/N;5420;Ávila;Sotillo de la Adrada;SOTILLO DE LA ADRADA;SOTILLO DE LA ADRADA;918660889;;;;;;
Restaurante / Bar;1;LOS CHAPALES;COMPLEJO POLIDEPORTIVO MUNICIPAL;5410;Ávila;Mombeltrán;MOMBELTRAN;MOMBELTRAN;617207039;920371496;634526464;;;;
Restaurante;1;LA PRINCIPAL;C/ MAYOR, Nº 5;5600;Ávila;Barco de Ávila (El);BARCO DE AVILA (EL);;920340322;;;;;;
Restaurante;2;DOÑA GUIOMAR;TOMAS LUIS DE VICTORIA, 3;5001;Ávila;Ávila;AVILA;AVILA;920253709;;;920256258;;;
Restaurante;1;VENTA LA COLILLA;CTRA. SORIA-PLASENCIA, KM. 261;5192;Ávila;Colilla (La);COLILLA (LA);COLILLA (LA);920269747;920268714;;;;;
Restaurante / Bar;1;LA ALDEA;Calle CAMINO DEL CUBILLO 1;5193;Ávila;Santa María del Cubillo;ALDEAVIEJA;ALDEAVIEJA;920204069;;;;;;
Restaurante;1;CASTILLA;Pº DE LA ESTACION;5300;Ávila;Crespos;CRESPOS;CRESPOS;920244110;;;;;;
Restaurante / Bar;1;LA CANALEJA;CTRA. SALAMANCA, KM. 2,5;5002;Ávila;Ávila;AVILA;AVILA;920213131;655464450;;;;;
Restaurante;1;LA TENERIA;AVIACION ESPAÑOLA, S/N;5480;Ávila;Candeleda;CANDELEDA;;920380569;;;;;;
Restaurante;1;DARIO;LOPE DE VEGA, 7;5480;Ávila;Candeleda;CANDELEDA;;920380604;;;;;;
Restaurante;1;ROMOGUSMA;PUENTE NUEVA, S/N;5113;Ávila;Burgohondo;BURGOHONDO;;920283232;920284142;;;;;
Restaurante;2;EL PORCHE;CTRA. SANCHIDRIAN, S/N;5164;Ávila;Hernansancho;HERNANSANCHO;;920261020;;;;;;
Restaurante;2;MIGUEL 2;SINDICAL, 6;5200;Ávila;Arévalo;AREVALO;;920300201;;;;;;
Restaurante / Bar;2;LUNA;CTRA. AVILA-PLASENCIA;5530;Ávila;Muñogalindo;MUÑOGALINDO;MUÑOGALINDO;920265337;;;;;;
Restaurante;1;PANCHO;DOCTOR RODRIGUEZ MIÑON, S/N;5420;Ávila;Sotillo de la Adrada;SOTILLO DE LA ADRADA;;918660133;;;;;;
Restaurante / Bar;1;GRAN OASIS;AFUERAS, 1;5550;Ávila;Amavida;AMAVIDA;;920230009;;;;;;
Restaurante;1;EL MESON DE LUCIA;C/ ABETO-LOCAL 613;5291;Ávila;Maello;PINAR DE PUENTE VIEJO;PINAR DE PUENTE VIEJO;669203184;;;;;;
Restaurante;1;EL RUBIO;CASERIOS DEL SUR, 1;5500;Ávila;Piedrahíta;PIEDRAHITA;;920360210;;;;;;
Restaurante;2;BRIGHTON;CRISTO DE LA LUZ, S/N;5001;Ávila;Ávila;AVILA;AVILA;920227295;;;;;;
Restaurante;1;MESON EL PUENTE TORMES;C/ EL PUENTE, 17;5600;Ávila;Barco de Ávila (El);BARCO DE AVILA (EL);;920340277;;;;;;
Restaurante;1;VENTA SAN MIGUEL;CTRA. ARENAS DE SAN PEDRO, S/N;5132;Ávila;San Martín del Pimpollar;SAN MARTIN DEL PIMPOLLAR;SAN MARTIN DEL PIMPOLLAR;920207470;;;;;;
Restaurante;1;LAS MURALLAS;PLAZA DE SAN VICENTE, 3;5001;Ávila;Ávila;AVILA;AVILA;920229362;;;;;;
Restaurante;1;ROYFE;DR. MARAÑON, S/N;5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;920380184;;;;;;
Restaurante / Bar;2;PEGUERINOS;AVDA. MADRID, 9;5293;Ávila;Peguerinos;PEGUERINOS;PEGUERINOS;918983022;;;;;;
Restaurante / Cafetería / Bar;2;OLIMPO;PASEO DE LA ESTACION, 27;5001;Ávila;Ávila;AVILA;AVILA;920227689;;;;;;
Restaurante / Bar;1;DIEGO'S;C/ REAL DE ABAJO, Nº 26;5110;Ávila;Barraco (El);BARRACO (EL);BARRACO (EL);651699267;;;;;;
Restaurante;2;LA PARRILLA CHARRA;ANICETO MARINAS, 27;5230;Ávila;Navas del Marqués (Las);NAVAS DEL MARQUES (LAS);NAVAS DEL MARQUES (LAS);918972382;;;;;;
Restaurante;2;EL RINCÓN DE ALODIA (CIERRE TEMPORAL);DOCTOR FLEMING, 26-BAJO;5001;Ávila;Ávila;AVILA;AVILA;667009208;666448986;;;;;
Restaurante;1;LA BODEGA;GENERAL FRANCO, 39;5110;Ávila;Barraco (El);BARRACO (EL);BARRACO (EL);920281423;;;;;;
Restaurante;2;EL QUINTO PINO;CTRA. PLASENCIA, S/N;5520;Ávila;Padiernos;PADIERNOS;PADIERNOS;920265469;;;;;;
Restaurante;2;PIEDRAHITA;EXTRAMUROS, 64;5500;Ávila;Piedrahíta;PIEDRAHITA;;920360861;;;;;;
Restaurante;1;LA POSADA DE LA FRUTA;PEDRO DAVILA, PLAZA, 8;5001;Ávila;Ávila;AVILA;AVILA;920254702;989870028;;;;;
Restaurante;1;OLIVER;CTRA. SANTA CRUZ, S/N;5412;Ávila;San Esteban del Valle;SAN ESTEBAN DEL VALLE;;920386136;;;;;;
Restaurante;2;VENTA DEL OBISPO;CTRA. AVILA-TALAVERA, KM. 47;5132;Ávila;San Martín del Pimpollar;SAN MARTIN DEL PIMPOLLAR;*DISEMINADO*;920207529;;;;;;
Restaurante / Bar;1;AEROCLUB;CTRA. SAN PEDRO DEL ARROYO;5290;Ávila;Sanchidrián;SANCHIDRIAN;;920318078;;;;;;
Restaurante;1;ROPINO;LAS SAYUELAS, S/N;5489;Ávila;Candeleda;RASO (EL);RASO (EL);920389788;;;;;;
Restaurante / Bar;1;EL TRECE;C/ LA VILLA, 37;5440;Ávila;Piedralaves;PIEDRALAVES;PIEDRALAVES;635562036;;;;;;
Restaurante;2;EL MOLINO DE LA LOSA;BAJADA DE LA LOSA, 12;5002;Ávila;Ávila;AVILA;AVILA;920211101;920211102;;920250172;info@elmolinodelalosa.com;;
Restaurante;1;GREDOS;SAN CRISTOBAL, 3;5510;Ávila;Santa María del Berrocal;SANTA MARIA DEL BERROCAL;;920367172;;;;;;
Restaurante;2;TALIN;PZA. ESPAÑA, 9;5260;Ávila;Cebreros;CEBREROS;CEBREROS;918630034;;;;;;
Restaurante / Bar;1;PEDROS;RAMON Y CAJAL, 6;5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;920380839;;;;;;
Restaurante / Bar;1;EL CHOPO;CTRA. MUÑICO, 28;5140;Ávila;Martiherrero;MARTIHERRERO;MARTIHERRERO;920269506;920269525;;;;;
Restaurante / Bar;1;LAS CHUMBERAS;C/ SARGENTO PROVISIONAL, Nº 42;5490;Ávila;Lanzahíta;LANZAHITA;;920378765;;;;;;
Restaurante;1;CASA LUCIO;C/ PASION,  Nº 3;5600;Ávila;Barco de Ávila (El);BARCO DE AVILA (EL);BARCO DE AVILA (EL);920340447;920340759;;;;www.casalucio.net;
Restaurante;2;DON FINARDO;GREDOS, 9;5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;920380822;920382077;;;;;
Restaurante;1;EL PORVENIR;C/ LA VEGA, 2;5140;Ávila;Martiherrero;MARTIHERRERO;;920269403;;;;;;
Restaurante;3;DRACO'S;SERRALLO, 49;5260;Ávila;Cebreros;CEBREROS;CEBREROS;918630617;918630529;;918632112;;;
Restaurante;1;FLORENTINO;SOLOSANCHO, S/N;5130;Ávila;Solosancho;ROBLEDILLO;ROBLEDILLO;920291273;;;;;;
Restaurante;1;EL RANCHERO;C/ IGLESIA, 18;5450;Ávila;Casavieja;CASAVIEJA;CASAVIEJA;918678104;;;;;;
Restaurante;2;MESON EL PUENTE (cierre temporal);LOSA, BAJADA LA, 2;5002;Ávila;Ávila;AVILA;AVILA;920225051;;;;;;
Restaurante / Cafetería / Bar;1;MAINZ;Avda. Castilla y León, 27;5440;Ávila;Piedralaves;PIEDRALAVES;PIEDRALAVES;918665775;655580923;;;;;
Restaurante;1;LA TALANQUERA;TALANQUERA, S/N;5450;Ávila;Casavieja;CASAVIEJA;;;;;;;;
Restaurante;1;MAR CANTABRICO;AVDA. CONSTITUCION, 22;5450;Ávila;Casavieja;CASAVIEJA;;918678477;;;;;;
Restaurante;2;EL COCEDERO;BURGOHONDO, CARRETERA, KM. 2,5;5002;Ávila;Ávila;AVILA;AVILA;920250942;;;;;;
Restaurante / Bar;1;TABERNA EL VILLANO - ESPERANZA;TRAVESIA DEL PALOMAR;5410;Ávila;Mombeltrán;MOMBELTRAN;MOMBELTRAN;661835399;;;;;;
Restaurante / Bar;1;EL PASO DE GREDOS;CARRETERA, 3;5131;Ávila;Mengamuñoz;MENGAMUÑOZ;MENGAMUÑOZ;920291203;;;;;;
Restaurante;1;EL ASADOR DE AVILA;CTRA. SORIA-PLASENCIA, KM. 262,200;5197;Ávila;Fresno (El);FRESNO (EL);FRESNO (EL);920269983;;;;;;
Restaurante / Bar;2;NTRA. SRA. DE SONSOLES;CTRA. ANTIGUA DE SONSOLES, KM. 4,9;5002;Ávila;Ávila;AVILA;AVILA;920227376;649977618;;;posadarestaurantesonsoles@hotmail.com;;
Restaurante;2;EL PENTAGONO - CASA FIDEL;CARRETERA, S/N;5540;Ávila;Muñana;MUÑANA;;920231448;;;;;;
Restaurante;2;HOSTERIA DE BRACAMONTE (CESE TEMPORAL);BRACAMONTE, 6;5001;Ávila;Ávila;AVILA;AVILA;920251280;920253838;;;;;
Restaurante;1;GILA;REAL, 10;5293;Ávila;Peguerinos;PEGUERINOS;PEGUERINOS;918983021;;;;;;
Restaurante;2;LA SANTA;SANTA TERESA, PLAZA, 16;5001;Ávila;Ávila;AVILA;;920212156;;;;;;
Restaurante / Bar;2;LOQUERÍA;GENERAL SANJURJO, 141;5110;Ávila;Barraco (El);BARRACO (EL);BARRACO (EL);920281774;920281297;;;;;
Restaurante;1;MESON SAN NICOLAS;CTRA. N-110, KM. 261;5192;Ávila;Colilla (La);COLILLA (LA);COLILLA (LA);920269728;;;;;;
Restaurante / Bar;1;EL ESCUDO;CTRA. BEJAR, 57;5500;Ávila;Piedrahíta;PIEDRAHITA;PIEDRAHITA;920360896;;;;;;
Restaurante;1;CUATRO HERMANOS;VALLE DEL CORNEJA, 3;5002;Ávila;Ávila;AVILA;;920228177;;;;;;
Restaurante / Bar;2;MESON GALAYOS;CTRA. DEL BARCO, S/N;5634;Ávila;Hoyos del Espino;HOYOS DEL ESPINO;;920349014;920349222;;;info@galayos.net;www.galayos.net;
Restaurante;1;CASA ALFONSO;CARRETERA, S/N;5131;Ávila;Mengamuñoz;MENGAMUÑOZ;;920291350;;;;;;
Restaurante;2;ASADOR LAS CUBAS;FIGONES, 9;5200;Ávila;Arévalo;AREVALO;AREVALO;920300125;;;;;;
Restaurante / Bar;1;MESON LAS TINAJAS;C/ LA NUEVA, 15;5260;Ávila;Cebreros;CEBREROS;CEBREROS;629784052;918630617;;;;;
Restaurante;2;J.J.;CTRA. BARCO, S/N;5634;Ávila;Hoyos del Espino;HOYOS DEL ESPINO;HOYOS DEL ESPINO;920349058;;;;;;
Restaurante;3;EL ALMACEN;SALAMANCA, CARRETERA, 6;5002;Ávila;Ávila;AVILA;AVILA;920254455;;;;;;
Restaurante / Bar;1;DEL CAMPO;EUSEBIO REVILLA, 9;5200;Ávila;Arévalo;AREVALO;AREVALO;920302496;609810666;;;hostaldelcampo@gmail.com;;
Restaurante;1;EL JARDIN;GENERAL FRANCO, 44;5110;Ávila;Barraco (El);BARRACO (EL);BARRACO (EL);920281599;;;;;;
Restaurante;2;LA CUEVA;EL PERAL, 5;5510;Ávila;Santa María del Berrocal;SANTA MARIA DEL BERROCAL;;920367082;;;;;;
Restaurante / Bar;2;LAS CRUCERAS;Poblado LAS CRUCERAS 5;5110;Ávila;Barraco (El);CRUCERAS (LAS);CRUCERAS (LAS);665561225;;;;cooperativa.alberche@gmail.com;;
Restaurante;2;EL RINCON DE GREDOS;CTRA. VENTA DEL OBISPO, KM. 41;5635;Ávila;Navarredonda de Gredos;NAVARREDONDA DE GREDOS;NAVARREDONDA DE GREDOS;920348245;;;;;www.elrincondegredos.es;
Restaurante;2;EL CHIRINGUITO;ALMARZA SANCHIDRIAN,S/N.;5290;Ávila;Sanchidrián;SANCHIDRIAN;;920318236;;;;;;
Restaurante;1;LA TENTACION DEL GOURMET;AVDA. PORTUGAL, 27;5001;Ávila;Ávila;AVILA;AVILA;920338545;;;;;;
Restaurante;2;CASA MARIANO;PASEO RECOLETOS, 8;5270;Ávila;Tiemblo (El);TIEMBLO (EL);;918625245;;;;;;
Restaurante / Bar;2;REY JUAN II;PLAZA SANTO DOMINGO, 3;5200;Ávila;Arévalo;AREVALO;AREVALO;920303261;920303262;;;;;
Restaurante;1;LA PISCINA;AVDA. JUAN CARLOS, Nº 47;5250;Ávila;Hoyo de Pinares (El);HOYO DE PINARES (EL);HOYO DE PINARES (EL);625386542;;;;;;
Restaurante;1;EL RISCO DEL AGUILA;AVDA. DE MADRID, 12;5293;Ávila;Peguerinos;PEGUERINOS;;918983160;;;;;;
Restaurante / Bar;1;LA  LAGUNA;AVDA. MADRID, 10;5420;Ávila;Sotillo de la Adrada;SOTILLO DE LA ADRADA;SOTILLO DE LA ADRADA;658965523;;;;;;
Restaurante / Bar;2;NAVAGREDOS;CTRA. DE VALDEASCAS, S/N;5635;Ávila;Navarredonda de Gredos;NAVARREDONDA DE GREDOS;NAVARREDONDA DE GREDOS;625893130;;;;;;
Restaurante;1;VENTA RASQUILLA;CTRA. AVILA-ARENAS DE SAN PEDRO;5132;Ávila;San Martín del Pimpollar;SAN MARTIN DEL PIMPOLLAR;SAN MARTIN DEL PIMPOLLAR;920348221;;;;;;
Restaurante;1;EL SOL;CONCENTRACION PARCELARIA, 3;5310;Ávila;Fontiveros;FONTIVEROS;;920245067;;;;;;
Restaurante / Bar;1;SOTILLO;AVDA. JOSE ANTONIO, S/N;5420;Ávila;Sotillo de la Adrada;SOTILLO DE LA ADRADA;;918 660 181;;;;;;
Restaurante / Bar;1;MESON LOS MARINOS;CTRA. PLASENCIA, 6 (LA LAGUNILLA);5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;920381089;;;;;;
Restaurante;1;MESON;PLAZA CONSTITUCION, 21;5280;Ávila;Mingorría;MINGORRIA;;920200157;;;;;;
Restaurante;1;EL ALCALDILLO;CTRA. MADRIGAL DE LA VERA, S/N;5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;646522982;669515837;;;;;
Restaurante / Bar;2;SUR;C/ JESUS DEL GRAN PODER, 55;5003;Ávila;Ávila;AVILA;AVILA;920255466;637554447;;;abulahosteleros@abulahosteleros.com;;
Restaurante;1;LA GASOLINERA;CTRA. SALAMANCA, KM. 47;5380;Ávila;Salvadiós;SALVADIOS;;923563000;;;;;;
Restaurante;1;LIDO;COLONIA SAN FRANCISCO, S/N;5600;Ávila;Barco de Ávila (El);BARCO DE AVILA (EL);;920340714;;;;;;
Restaurante;2;MESON EL INCA;CRTA. A LA GRUTA DEL AGUILA;5418;Ávila;Arenas de San Pedro;RAMACASTAÑAS;;920371274;;;;;;
Restaurante;1;EL CALE;LA FRAGUA, 17;5620;Ávila;Carrera (La);CARRERA (LA);;920340119;;;;;;
Restaurante;2;DOÑA CAYETANA;PEDRO DAVILA, PLAZA, 6;5001;Ávila;Ávila;AVILA;AVILA;920256139;920256239;;;;;
Restaurante / Bar;1;ARPA;AVDA. DE GREDOS, S/N;5112;Ávila;Navalmoral;NAVALMORAL;NAVALMORAL;920280010;;;;;;
Restaurante;1;EL ROCIO;TRAVESIA DE LA VIÑUELA, 20;5450;Ávila;Casavieja;CASAVIEJA;;918678336;;;;;;
Restaurante;2;LA PARAMERA;AVDA GREDOS, 60;5112;Ávila;Navalmoral;NAVALMORAL;NAVALMORAL;659527486;920280056;;;;;
Restaurante;1;ENTRECASCADAS;PARAJE DE LA LUZ, S/N;5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;920380290;;;;;;
Restaurante;1;PLAZA;PZA. DE ABAJO, Nº 4;5420;Ávila;Sotillo de la Adrada;SOTILLO DE LA ADRADA;;918660228;;;;;;
Restaurante;1;ALARDOS DE SAN JUAN;PARAJE LAS HIGUEROLAS;5489;Ávila;Candeleda;RASO (EL);RASO (EL);920389765;920377141;;;;;
Restaurante / Bar;1;PUENTE DE LOS RIVEROS;PUENTE DE LOS RIVEROS, S/N;5480;Ávila;Candeleda;CANDELEDA;CANDELEDA;920380738;;;;;;
Restaurante / Bar;1;EL EMPERADOR;JUAN PABLO II, AVENIDA, 12;5002;Ávila;Ávila;AVILA;AVILA;920039229;;;;hosteriaelemperador@gmail.com;;
Restaurante;1;HOSPITAL NTRA. SRA. DE SONSOLES;VILLACASTIN A VIGO,CARRETERA,KM.109;5004;Ávila;Ávila;AVILA;AVILA;920251819;;;;;;
Restaurante / Cafetería / Bar;2;EL RINCÓN DE JABUGO-RISTORANTE ITALIANO;SAN SEGUNDO, 30;5001;Ávila;Ávila;AVILA;;920252590;920252890;;;;;
Restaurante / Bar;1;EL VALLE;Calle CALZADA 13;5520;Ávila;Salobral;SALOBRAL;SALOBRAL;626810502;664463439;;;agueda2-0@hotmail.com;;
Restaurante;1;TELEPIZZA;AVENIDA DE PORTUGAL Nº 2;5001;Ávila;Ávila;AVILA;AVILA;920255001;916575889;;916591349;;;
Restaurante;1;EMI-BEL;CTRA. DE BARCO, S/N;5635;Ávila;Navarredonda de Gredos;NAVARREDONDA DE GREDOS;;920348430;;;;;;
Restaurante;1;LA POSADA;ESQUINILLA, 9;5461;Ávila;Mijares;MIJARES;PINOSA;920385180;;;;;;
Restaurante / Bar;1;EL RINCONCILLO;CTRA. ARENAS-CANDELEDA, KM. 11;5492;Ávila;Arenas de San Pedro;ARENAS DE SAN PEDRO;ARENAS DE SAN PEDRO;920390173;607213076;;;migueltb70@hotmail.com;;
